"crop","soil_type","watering_guideline","basal_fertilizer","top_dressing_1","top_dressing_2","micronutrients","variety_tips"
"adzukibeans","Well-drained sandy loam to loamy soils; pH 5.8–7.0 (neutral to slightly alkaline ideal for N fixation); rich in organic matter; does not tolerate waterlogged soils; loosely tilled to 12–15 inch depth; weed-free seedbed essential as early growth is slow","Generally not irrigated; annual rainfall 500–1750 mm in growing regions; drought tolerant but severe yield reduction under stress; consistent soil moisture without waterlogging; furrow irrigation preferred over spray to reduce fungal spread; critical stages: flowering (flower abortion under moisture stress) and seed fill; drip or soaker hose recommended if irrigated","FYM or compost 5 t/ha incorporated before planting; N 18–36 kg/ha pre-plant basal (pre-plant N needed even as legume for good nodulation); P 70 kg P2O5/ha for P-deficient soils (split if high P rate); seed inoculation with Rhizobium japonicum specific strain critical; sulphur 20 kg/ha as gypsum for S-deficient soils","Fertilize at planting and again 4–6 weeks after emergence; balanced NPK 10:10:10 at 4–6 weeks post-emergence; K 32 lbs/ac (36 kg/ha) K2O as standard rate; P and K applications at young seedling and early flowering stages increase yields on nutrient-poor soils; total N max 36 kg/ha under good inoculation","Foliar spray of 2% DAP or 1% KNO3 at 50% flowering for pod set; Mn sulfate 0.9–1.8 kg/ac foliar; ZnSO4 0.22–0.9 kg/ac foliar; borax 0.22–2.7 kg/ac foliar — all as foliar micronutrient applications; no second mineral N top dressing under good nodulation","Mn, Zn, B, Mo are most important micronutrients; Mn sulfate 0.9–1.8 lb/ac foliar; ZnSO4 0.22–0.9 lb/ac; borax 0.22–2.7 lb/ac; molybdenum 500 g/ha seed treatment for N fixation; do not mix Zn foliar with imazethapyr herbicide; gypsum as Ca+S source for pod filling quality","Japanese: Dainagon (large red), Shiroshiro (white); Chinese: Bao-Gan, Zhong-Hong; Asian standard varieties: Erimo, Taiyo; yield 800–1500 kg/ha; duration 80–120 days; plant late spring after soil >13°C; spacing 45–75 cm row × 5–8 cm plant; N fixation up to 100 kg N/ha under good inoculation; rotate once in 3+ years"
"apple","Red lateritic soil with good drainage and high organic matter; pH 5.8–6.2; well-drained; minimum 1.6 m depth; liming required to correct acidity","Regular watering until establishment; drip irrigation preferred; withhold irrigation during dormancy; elevation 1200–2000 m MSL","FYM 25 kg/tree at planting; N 500 g + P 1000 g + K 1000 g per bearing tree as annual dose","Apply full NPK dose (N 500 g, P 1 kg, K 1 kg/tree) during first growth flush (June–July); split into 2–3 applications","Post-harvest feeding with FYM 25 kg + balanced NPK to replenish reserves; prune December–January and feed immediately after","Spray lime sulphur 22% SC for scab management; Boron and Zinc foliar sprays during flowering if deficiency noted; liming to maintain pH 5.8–6.2","Low-chilling varieties: Irish Peach (April–May), Carrington/Winterstein (June–July), Rome Beauty/KKL 1 (Aug–Sep); yield 10–20 kg/tree/year from 4th year"
"banana","Well-drained loamy soils; alkaline and saline soils must be avoided; pH 6.0–7.5; garden land, wet land, padugai, or hill banana conditions","Drip irrigation: 15 L/plant/day (planting–4th month), 20 L/plant/day (5th month–shooting), 25 L/plant/day (shooting–15 days before harvest); wet land: once in 10–15 days; irrigate copiously after every manuring","FYM 10 kg + Neem cake 250 g/pit at planting; Phosphorus full dose (35–90 g P/plant) at 3rd month; biofertilizers: AM 250 g + Azospirillum 50 g + PSB 50 g + Trichoderma 50 g at planting","Garden land (non-Nendran): N 110 g + P 35 g + K 330 g/plant/year in 3 splits at 3rd, 5th, 7th MAP; Nendran: N 150 g + P 90 g + K 300 g/plant/year; Wet land: N 210 g + P 35 g + K 450 g/plant/year","Fertigation: 200:30:300 g N:P2O5:K2O/plant with 25 L water/day; fertigation schedule—weeks 9–18: N 30%, P 100%, K 20%; weeks 19–30: N 50%, K 40%; weeks 31–42: N 20%, K 32%; weeks 43–45: K 8%","Foliar spray of H3BO3 @ 0.2% at 3rd, 5th, 7th MAP to increase yield and quality; Zinc sulphate 0.5% if deficiency noted; organic: wood ash 1.75 kg/plant for K","Export: Grand Naine, Robusta, Dwarf Cavendish; Tissue culture: apply 50% extra fertilizers at 2nd, 4th, 6th, 8th MAP; HDP (3 suckers/pit): 2.25× recommended dose/clump; Hill banana: 375 g 40:30:40 NPK + 130 g MOP/clump, 3 times/year"
"blackgram","Well-drained loamy to sandy loam soil; pH 6.0–7.5; avoid waterlogging; light to medium textured soils preferred","3–5 irrigations; critical stages: pre-sowing, branching (20–25 DAS), flowering (35–40 DAS), pod filling (50–55 DAS); 300–450 mm total water requirement","FYM 10–12.5 t/ha at last ploughing; N 25 kg/ha + P 50 kg/ha + K 25 kg/ha as basal; seed treatment: Rhizobium culture 600 g/ha + Phosphobacteria 600 g/ha","N 25 kg/ha top dressing at 30 DAS (branching stage); apply in soil moisture condition","No standard top dressing at flowering per research guidelines; foliar spray of 2% DAP at 50% flowering to enhance pod setting and yield","Foliar spray ZnSO4 @ 0.5% + borax 0.1% at flowering; soil application of ZnSO4 @ 25 kg/ha if deficient; molybdenum 0.5 kg/ha as seed treatment improves N fixation","High-yield varieties: Co 6, VBN 6, KM 2, ADT 3; yield potential 800–1200 kg/ha; duration 65–75 days; kharif and rabi seasons both suitable"
"chickpea","Well-drained medium to heavy black cotton soil (vertisols) or sandy loam; pH 6.0–8.0; poor drainage leads to root rot; salt-tolerant but not waterlogging","Largely rainfed; 1–2 supplemental irrigations if needed; critical stage: pre-flowering (35–40 DAS) and pod filling (70–80 DAS); total water 300–400 mm","FYM 5 t/ha; N 20 kg/ha + P 40–60 kg/ha + K 20 kg/ha as basal; seed inoculation with Rhizobium (Mesorhizobium ciceri) 600 g/ha; PSB 600 g/ha","N 20 kg/ha top dressing at 30 DAS if nodulation is poor; foliar spray of 2% urea at vegetative stage to boost growth","Foliar spray of 2% DAP at flowering stage for improved pod set; K2SO4 1% spray at pod development stage","ZnSO4 @ 25 kg/ha soil application or 0.5% ZnSO4 foliar spray; borax 10 kg/ha for boron-deficient soils; sulphur 20 kg/ha improves protein content","High-yield desi types: JG 11, JAKI 9218, Pusa 256; kabuli types: KAK 2, Pusa 1003; yield 1200–1800 kg/ha; sowing October–November (rabi season)"
"coconut","Red sandy loam, laterite, and alluvial soils; heavy imperfectly drained soils unsuitable; withstands waterlogging but prefers well-drained; up to 600 m MSL","Drip (western, normal): Feb–May: 65 L/day; Jan/Aug/Sep: 55 L/day; Jun–Jul/Oct–Dec: 45 L/day. Basin irrigation: 410 L per 5–9 days depending on season. Year 1: alternate days; Year 2 to maturity: twice a week","At planting: FYM + red earth + sand (equal proportions) in pit; 500 g rock phosphate/pit; biofertilizers: Azospirillum 50 g + Phosphobacteria 50 g + AM fungi 50 g at planting","From 5th year: Urea 1.3 kg (560 g N) + Superphosphate 2.0 kg (320 g P2O5) + MOP 2.0 kg (1200 g K2O) + FYM 50 kg per palm per year in 2 equal splits (June–July and December–January). 2nd year: 1/4 dose; 3rd year: 1/2 dose; 4th year: 3/4 dose","Fertigation: 75% of recommended dose at monthly intervals via drip; phosphorus as DAP through drip when water quality permits; TNAU coconut tonic 200 mL/palm root-feed twice yearly","TNAU micronutrient mixture @ 1.0 kg/tree/year; ZnSO4 and borax soil application if deficient; foliar spray for iron and manganese if yellowing observed","East Coast Tall, West Coast Tall for general cultivation; VHC 2/VHC 3 hybrids for high yield under managed conditions; COD/ALR 3 dwarfs for tender coconut; intercrop with cocoa, pepper, banana (above 20 years)"
"coffee","Deep, friable, open-textured soil rich in humus; slightly acidic (pH 4.5–6.5); light loamy with high organic matter; good drainage essential; elevation: Arabica 1000–1500 m, Robusta 500–1000 m","Primarily rainfed (Arabica: 1600–2500 mm; Robusta: 1000–2000 mm); sprinkler irrigation March–April for blossom induction; blossom shower Feb–Mar (Robusta) / Mar–Apr (Arabica); backing shower April–May required","Nursery bed: 30–40 kg compost + 2 kg agricultural lime + 400 g rock phosphate per 1×6 m bed; field pit: 500 g rock phosphate per 45×45×45 cm pit; young coffee year 1 (Arabica): 45:30:45 kg N:P2O5:K2O/ha/year","Arabica bearing (5+ years, <1 t/ha crop): Pre-blossom (Mar) + Post-blossom (May) + Post-monsoon (Oct) each 40:30:40 kg N:P2O5:K2O/ha = total 140:90:120 kg/ha/year. Robusta (<1 t/ha): 80:60:80 kg/ha/year in 2 splits","Arabica (≥1 t/ha crop): 4 splits × 40:30:40 = 160:120:160 kg N:P2O5:K2O/ha/year at pre-blossom, post-blossom, mid-monsoon, post-monsoon. Robusta (≥1 t/ha): 120:90:120 kg/ha in 3 splits","Spray 0.5% Bordeaux mixture at key phenological stages for rust control; Fe, Zn, B foliar applications if deficiency noted; acidic soils may need lime correction","Arabica: SLN 795, Cauvery, Chandragiri (disease resistant); Robusta: SLN 274, SLN 270; spacing: Arabica 1.5–2.0 m, Robusta 2.5 m; intercrop with orange, pepper, banana, pineapple"
"cotton","Deep well-drained black cotton soil (vertisols) or red loamy soil; pH 6.0–8.0; medium to heavy texture; avoid saline/alkaline soils; deep tillage required","Critical irrigations at square formation (45 DAS), flowering (65–70 DAS), boll development (85–95 DAS), and boll opening (110–120 DAS); total 6–8 irrigations; 600–800 mm water requirement; drip irrigation saves 40% water","FYM 12.5 t/ha; N 50 kg/ha + P 50 kg/ha + K 50 kg/ha as basal at sowing; biofertilizer: Azospirillum 2 kg/ha + PSB 2 kg/ha with FYM as seed/soil treatment","N 50 kg/ha at 30–35 DAS (squaring stage) as urea top dressing; apply after weeding when soil moisture is adequate","N 25 kg/ha at boll formation stage (60–70 DAS); K 50 kg/ha as MOP at flowering for improved boll retention and fiber quality; foliar 2% KNO3 at boll development","ZnSO4 @ 25 kg/ha soil application; foliar spray 0.5% ZnSO4 + 0.1% borax at squaring and flowering; iron sulphate 10 kg/ha for iron-deficient soils","Bt hybrids: MRC 7301, RCH 2, Bunny BG II; non-Bt: MCU 5, LRA 5166; yield 1500–2500 kg seed cotton/ha; duration 180–200 days; sow May–June (kharif)"
"grapes","Well-drained rich loamy soil; pH 6.5–7.0; EC < 1.0 mS/cm; low water table; minimum 1 m soil depth; Dogridge or 110R rootstocks for high pH/saline conditions","Drip irrigation: shoot growth (1–40 DAP): 33,600–50,400 L/day/ha; bud differentiation (41–60 DAP): 11,200–14,000 L/day/ha; cane maturity (61–120 DAP): 0–8,400 L/day/ha; berry growth (56–105 DAP): 12,600–25,200 L/day/ha; withhold 15 days before pruning and 15 days before harvest","Trench filling: FYM + sheep manure + green manure + superphosphate 1 month before planting; Muscat Hamburg: FYM 25 kg + SSP 500 g/vine after harvest; Thompson Seedless: FYM 50 kg/vine at Year I","Thompson Seedless via fertigation—back pruning: N 80 kg/ha (pre-bud diff, 1–30 DAP); P 213.3 kg/ha (bud differentiation 31–60 DAP); K 80 kg/ha (post-bud diff 61–120 DAP); forward pruning: N 80 kg/ha (pre-bloom 1–40 DAP)","Forward pruning: P 106.6 kg/ha (bloom 41–70 DAP); N 80 + K 80 kg/ha (berry growth 71–105 DAP); K 80 kg/ha (veraison–harvest); rest period: N 26.6 + P 35.5 + K 26.6 kg/ha. Muscat Hamburg: N 0.10–0.20 kg + P 0.08–0.16 kg + K 0.30–0.60 kg/vine/year, half K immediately after pruning, rest after 60 days","Foliar spray: 0.2% ZnSO4 + 0.1% boric acid + 0.5% FeSO4 + 0.1% citric acid twice during blooming; soil application: ZnSO4 25 kg + borax 10 kg + FeSO4 50 kg/ha if deficient","Seedless export: Thompson Seedless, Sonaka, Sharad Seedless, Crimson Seedless; table: Red Globe, Muscat Hamburg (Panneer); Muscat Hamburg double pruning for double cropping; total fertigation: N 266.6 + P 355.2 + K 266.6 kg/ha/season"
"groundnut","Well-drained sandy loam or sandy clay loam soils; pH 6.5–7.0; deep, loose, friable soils for pod development; red soils preferred; avoid heavy clay and waterlogged soils; light to medium texture ensures good pegging and pod filling","4–5 irrigations; critical stages: pegging (30–40 DAS), flowering (40–50 DAS), pod development (60–80 DAS), pod filling (80–100 DAS); total 450–600 mm; avoid excess moisture; rainfed in kharif, irrigated in rabi and rice fallows; pre-sowing irrigation for good germination","FYM 10–12 t/ha once in 2–3 seasons; N 20 kg/ha + P 40 kg P2O5/ha + K 60 kg K2O/ha as basal for kharif; P through SSP (contains S); gypsum 250 kg/ha at flowering for pod filling and Ca supply; Rhizobium inoculation 600 g/ha; no N if good nodulation at 30 DAS","N 20–30 kg/ha top dressing at 30–35 DAS if nodulation is poor; ammonium sulphate preferred (provides 24% S); apply at good soil moisture; gypsum 250 kg/ha at pegging stage for calcium-mediated pod filling; PSB 600 g/ha seed treatment","No standard second mineral top dressing; foliar spray: 1% KNO3 or 2% KCl at pod development; MnSO4 0.1% + CuSO4 0.05% + ZnSO4 0.5% foliar at flowering and pod filling for improved yield and quality; Fe chelate 1% if iron chlorosis in alkaline soils","ZnSO4 @ 25 kg/ha once in 3 seasons; gypsum 250 kg/ha for Ca+S; boron 1 kg/ha foliar at flowering; MnSO4 1–2 kg/ha foliar; CuSO4 0.5–1 kg/ha foliar; ammonium sulphate as N source provides critical S; avoid lime excess which blocks micronutrient uptake","Kharif bunchy: TMV 2, ICGS 44, Kadiri 7 Bold; spreading: ICGV 91114, Greeshma; rabi/summer irrigated: Co 2, Co 3, TG 26; yield 1500–2500 kg/ha rainfed, 2500–4000 kg/ha irrigated; seed rate 32–40 kg/ha bunchy, 24–32 kg/ha spreading; spacing 30×15 cm (bunchy), 45×15 cm (spreading)"
"jute","Sandy loam to clay loam alluvial soil; pH 6.0–7.5; well-drained with high moisture retention; river basins and deltaic soils ideal; avoid waterlogging during early growth","Rainfed crop; requires 1500–2000 mm well-distributed rainfall; supplemental irrigation at germination and early vegetative stage if dry spell; no irrigation after 40 DAS normally","FYM 5 t/ha or compost 2.5 t/ha incorporated before sowing; N 20 kg/ha + P 20 kg/ha + K 20 kg/ha as basal at sowing","N 40 kg/ha top dressing at 30 DAS (15–20 cm plant height); apply in moist soil; total N: 60 kg/ha","No standard second top dressing; foliar spray of 1% KNO3 at 45–50 DAS for stem quality and fiber strength; K 20 kg/ha additional if soils are potassium-deficient","ZnSO4 @ 20 kg/ha soil application; borax 5 kg/ha for boron supplementation; foliar spray 0.5% ZnSO4 at 30 DAS for improved fiber quality","Corchorus olitorius (tossa): JRO-524, JRO-8432; Corchorus capsularis (white): JRC-321, JRC-212; yield 2.5–3.5 t/ha fiber; sow March–May; harvest 90–120 DAS when 50% plants in flower bud stage"
"kidneybeans","Well-drained sandy loam to loam soil; pH 6.0–7.5; high organic matter; avoid heavy clay and waterlogged soils; light-textured, friable soils preferred for root development","Critical irrigations: pre-sowing, 20–25 DAS (branching), 35–40 DAS (flowering), 50–55 DAS (pod filling); 4–6 irrigations total; 450–600 mm total water; avoid excess moisture","FYM 10–12 t/ha; N 20 kg/ha + P 60 kg/ha + K 40 kg/ha as basal; seed treatment: Rhizobium phaseoli 600 g/ha + PSB 600 g/ha with rice gruel binder","N 20 kg/ha at 30 DAS (first branching/vegetative stage); apply in furrows and irrigate; total N: 40 kg/ha","Foliar spray 2% DAP at flowering (40–45 DAS) for improved pod set; K 20 kg/ha as MOP at pod filling stage if needed","ZnSO4 @ 20–25 kg/ha soil application; boron 1 kg/ha as borax foliar at flowering; molybdenum 500 g/ha seed treatment to improve N fixation","Varieties: Arka Komal, Contender, Pusa Parvati; yield 1200–1500 kg/ha (dry) or 8–10 t/ha (green pods); sow October–November (rabi) or June–July (kharif); duration 90–110 days"
"lentil","Well-drained loamy to sandy loam soil; pH 6.0–8.0; fertile soils with moderate moisture retention; tolerates moderately alkaline and slightly saline conditions; avoid waterlogging","Mainly rainfed; 1–2 supplemental irrigations; pre-sowing irrigation critical; pod-filling stage (60–70 DAS) if dry; total water 250–350 mm; drought-tolerant but sensitive to excess moisture","FYM 5 t/ha; N 20 kg/ha + P 40 kg/ha + K 20 kg/ha as basal at sowing; Rhizobium (lentil-specific) 600 g/ha seed inoculation + PSB 600 g/ha","If nodulation poor: N 20 kg/ha top dressing at 25–30 DAS; foliar urea 1% at branching stage if growth is slow","Foliar spray 2% DAP at 50% flowering for pod set improvement; no standard second mineral top dressing under normal nodulation","ZnSO4 @ 20 kg/ha; molybdenum 500 g/ha as seed treatment; sulphur 20 kg/ha for improved protein content; boron 1 kg/ha as foliar at flowering","Varieties: DPL 15, WBL 77, IPL 406, PL 8; yield 1000–1500 kg/ha; duration 110–130 days; sow October–November (rabi); intercrop with mustard or wheat in rainfed areas"
"maize","All maize-growing soils with pH 6.0–7.0; well-drained loamy soils preferred; light sandy to heavy clay soils possible; good tilth required; temperature 18–32°C","Spacing: irrigated 60×25 cm, rainfed 45×20 cm; 6–8 irrigations for irrigated maize; critical stages: knee-high (25–30 DAS), tasseling/silking (50–55 DAS), grain filling (70–80 DAS); 500–700 mm total water","FYM 10–15 t/ha; N 50 kg/ha + P 50–75 kg/ha + K 50 kg/ha as basal at sowing; seed treatment: Azospirillum 2 kg/ha + PSB 2 kg/ha","N 50 kg/ha at knee-high stage (25–30 DAS); apply as band placement alongside rows; total N: 100–120 kg/ha for irrigated maize","N 25 kg/ha at tasseling stage (50–55 DAS) if recommended dose not fully applied; K 25 kg/ha supplementation at grain filling for improved grain weight","Foliar spray 0.5% ZnSO4 at 45 DAS and 10 days after for each spray; soil application ZnSO4 @ 25 kg/ha; Fe-deficient soils: FeSO4 10 kg/ha + 0.1% citric acid foliar","Hybrids: HQPM 1 (QPM), 900 M Gold, DK 9108; composites: Vikram, Amber; yield 5–8 t/ha irrigated; duration 90–110 days; baby corn: VL 78, HM 4; rogue spacing 75 cm every 10 rows"
"mango","Red loamy soil with good drainage; pH 6.5–8.0; UHDP in normal soil also suitable; avoid heavy clay and waterlogged soils; pit size 1×1×1 m","Regular watering until establishment; drip irrigation preferred; avoid irrigation 30 days before flowering (stress induction); resume at flowering; drip schedule based on weekly fertigation intervals","Conventional: FYM 10 kg/tree Year 1, increasing to 50 kg from 6th year; N 0.2 kg/tree Year 1 rising to 1.0 kg; P 0.2 kg rising to 1.0 kg; K 0.3 kg rising to 1.5 kg/tree/year. UHDP Year 1: N 35 g + P 15 g + K 25 g + FYM 5 kg/tree","HDP fertigation: Apply 1.0:0.5:1.0 kg NPK/bearing tree/year; after-harvest split (2 months, 25% N/K); pre-flowering split (2 months, 40% N); UHDP 4th year onwards: N 120 g + P 75 g + K 100 g + FYM 15 kg/tree","Flowering to fruit set (2 months): 20% N, 20% P, 25% K; fruit development (4 months): 15% N, 30% K; fertigation at weekly intervals minimum 6 doses per stage","Spray Zinc sulphate 0.5% (500 g/100 L) thrice at 10-day intervals from 40 DAS; MgSO4 via fertigation (0.278–0.833 kg/dose/acre per UHDP schedule); 8% plant wax (Fruitox/Waxol) pre-harvest to reduce anthracnose","Export: Alphonso, Banganapalli, Sendura; processing: Alphonso, Banganapalli, Totapuri; high-yield hybrids: Mallika, Amrapali, Arka Anmol, Arka Aruna; UHDP at 3×2 m (1666 plants/ha); HDP at 5×5 m (400 plants/ha)"
"millet","Well-drained sandy to loamy soils; pH 6.0–7.5; light soils of low inherent fertility with mild salinity acceptable; does not tolerate waterlogged acidic soils; tolerates drought but not high rainfall (>90 cm); fine seedbed tilth required as seeds are tiny","Primarily rainfed requiring 40–50 cm annual rainfall; 3 supplemental irrigations for panicle initiation, flag leaf, and flowering under limited water; skip top dressing N under prolonged dry spell and apply 2% urea foliar instead; drip or sprinkler recommended; additional 20 kg N/ha if excessive rain during vegetative phase","FYM or compost 10–15 t/ha applied 20 days before sowing for full decomposition; 1/2 N + full P + full K as basal 3–5 cm below seed at sowing; hybrid recommended dose: N 80–100 kg/ha + P 40–50 kg/ha + K 40–50 kg/ha; Azospirillum 2 kg/ha + PSB 2 kg/ha seed treatment","1/4 N at 30 DAS (knee-high/vegetative stage); 1/4 N at 60 DAS (panicle initiation); do not place fertilizer in furrow with seeds to avoid germination burn; foliar 3% urea under rainfed/barani conditions if dry spell occurs","Final N application complete by panicle initiation; no top dressing after heading; under excessive rainfall add extra N 20 kg/ha at vegetative phase; K supplementation if deficiency (leaf margin scorch, dark red leaves, leathery texture); foliar MnSO4 if micronutrient deficiency symptoms appear","ZnSO4 @ 10 kg/ha soil application in Zn-deficient soils; 0.2% ZnSO4 foliar at tillering to pre-flowering for correction; iron deficiency: FeSO4 foliar at early stage; sulphur 10–15 kg/ha in S-deficient coastal soils; MnSO4 and MgSO4 foliar if yellowing observed","Hybrids: RHB 138, HHB 67 (Haryana), ICTP 8203, CO (B) 6 (TN); composites: WCC 75, Raj 171; yield 1500–3000 kg/ha rainfed, 3000–4500 kg/ha irrigated; kharif sowing July (north India), Oct–Nov (Tamil Nadu rabi), Feb–May (summer irrigated); duration 60–90 days"
"mothbeans","Well-drained sandy to sandy loam soil; pH 6.0–8.0; drought-tolerant; grows well in arid and semi-arid soils; low fertility soils tolerated; avoid heavy clay and waterlogging","Highly drought-tolerant; 2–3 supplemental irrigations if needed; pre-sowing moisture important; pod-filling stage (50–60 DAS) is critical; total water 200–300 mm; rain-fed cultivation common","FYM 5 t/ha; N 20 kg/ha + P 40 kg/ha + K 20 kg/ha as basal; seed inoculation with Rhizobium (cowpea type) 600 g/ha; minimal nutrient input due to soil N fixation","N 20 kg/ha top dressing at 25–30 DAS if growth is slow; apply in soil moisture; total N: 40 kg/ha maximum","Foliar 2% DAP at flowering stage; no standard second mineral top dressing; K 20 kg/ha as MOP if pod retention is poor","ZnSO4 @ 20 kg/ha soil; borax 5 kg/ha; molybdenum 500 g/ha as seed treatment; sulphur 10 kg/ha for protein quality","Varieties: RMO 40, RMO 225, CAZRI Moth 1, Jadia; yield 500–800 kg/ha rainfed; 1000–1200 kg/ha under irrigation; duration 70–90 days; summer and kharif sowing; intercrop with pearl millet"
